spines,branch_third,condition,soma_peak
20,1,plaque,4.483498469631172
20,1,plaque,3.320941811565106
20,1,plaque,3.0887113676103084
20,1,plaque,3.575909916213803
20,1,plaque,4.688046901392141
20,1,plaque,3.504586744543346
20,1,plaque,3.2441154816759834
20,1,plaque,3.848084982707398
20,1,plaque,4.547253476248166
20,1,plaque,3.4602034270903914
20,1,plaque,3.9782501004024553
20,1,plaque,3.971385647566578
20,1,plaque,3.787326305828884
20,1,plaque,4.091093676129454
20,1,plaque,4.047657444397643
20,1,plaque,4.464985236513492
20,1,plaque,4.035664049498266
20,1,plaque,3.5043366052197626
20,1,plaque,3.8539092950821896
20,1,plaque,4.222154854049542
20,1,plaque,3.702700317597987
20,1,SAAeq,4.2085258897601605
20,1,SAAeq,4.108176437597898
20,1,SAAeq,4.6810906298237995
20,1,SAAeq,4.588503980268705
20,1,SAAeq,4.421494199724208
20,1,SAAeq,4.229095515190316
20,1,SAAeq,4.435700106602837
20,1,SAAeq,4.790996775022975
20,1,SAAeq,4.428015205051921
20,1,SAAeq,5.2961324609497
20,1,SAAeq,4.5219756177698756
20,1,SAAeq,4.914415831816704
20,1,SAAeq,3.3934266353362617
20,1,SAAeq,4.906479958492611
20,1,SAAeq,4.842048429715689
20,1,SAAeq,4.5114837008384185
20,1,SAAeq,4.483309752883358
20,1,SAAeq,3.9690942200366237
20,1,SAAeq,4.54701083211561
20,1,SAAeq,4.555839847866949
20,1,SAAeq,4.671706198164053
20,1,SAAeq,4.35634888088655
20,1,SAAeq,4.361052470505292
20,1,SAAeq,5.186389902647896
20,1,SAAeq,4.106469174757173
20,1,SAAeq,4.605805917162954
20,1,SAAeq,4.538080715173059
20,1,SAAeq,4.637454092189849
20,1,SAAeq,4.3960427518962675
20,1,SAAeq,4.1864512592376215
20,1,SAAeq,4.222302266446391
20,1,SAAeq,4.080070583127942
20,1,SAAeq,5.007604138512491
20,1,SAAeq,4.854300321346919
20,1,SAAeq,4.407335653226667
20,1,SAAeq,3.818653924099884
20,1,SAAeq,5.053145905570503
20,1,SAAeq,4.534891897777598
20,1,SAAeq,4.780312325647934
20,1,SAAeq,4.186673213411694
20,1,SAAeq,5.780277026026475
20,1,SAAeq,4.054817904771731
20,1,SAAeq,4.663533124913059
20,1,SAAeq,4.194069635102977
20,1,SAAeq,3.4254888960653105
20,1,SAAeq,4.017985670303965
20,1,SAAeq,4.094825323779965
20,1,SAAeq,4.105235035216502
