spines,branch_third,condition,compartment,peak_voltage
20,1,plaque,dend,65.51565581129177
20,1,plaque,dend,65.91272180259554
20,1,plaque,dend,64.96839790735845
20,1,plaque,dend,65.56837423118391
20,1,plaque,dend,66.76936842359306
20,1,plaque,dend,62.77010023851404
20,1,plaque,dend,66.00148316945936
20,1,plaque,dend,65.0235326974527
20,1,plaque,dend,65.9573517335383
20,1,plaque,dend,64.43162790393366
20,1,plaque,dend,60.126710380972625
20,1,plaque,dend,65.94391856117534
20,1,plaque,dend,65.94262951889895
20,1,plaque,dend,65.16485072547529
20,1,plaque,dend,64.40844054412332
20,1,plaque,dend,60.15631344839251
20,1,plaque,dend,65.32306024771671
20,1,plaque,dend,63.233697712214315
20,1,plaque,dend,66.48366694335438
20,1,plaque,dend,64.07774253552378
20,1,plaque,dend,65.50906764285608
20,1,plaque,dend,65.03165534587576
20,1,plaque,dend,64.86008140418635
20,1,plaque,dend,64.84226331392036
20,1,plaque,dend,65.34151782217414
20,1,plaque,dend,62.942423652185674
20,1,plaque,dend,65.69830061077538
20,1,plaque,dend,64.30692496355921
20,1,plaque,dend,66.14537418026423
20,1,SAAeq,soma,4.2085258897601605
20,1,SAAeq,soma,4.108176437597898
20,1,SAAeq,soma,4.6810906298237995
20,1,SAAeq,soma,4.588503980268705
20,1,SAAeq,soma,4.421494199724208
20,1,SAAeq,soma,4.229095515190316
20,1,SAAeq,soma,4.435700106602837
20,1,SAAeq,soma,4.790996775022975
20,1,SAAeq,soma,4.428015205051921
20,1,SAAeq,soma,5.2961324609497
20,1,SAAeq,soma,4.5219756177698756
20,1,SAAeq,soma,4.914415831816704
20,1,SAAeq,soma,3.3934266353362617
20,1,SAAeq,soma,4.906479958492611
20,1,SAAeq,soma,4.842048429715689
20,1,SAAeq,soma,4.5114837008384185
20,1,SAAeq,soma,4.483309752883358
20,1,SAAeq,soma,3.9690942200366237
20,1,SAAeq,soma,4.54701083211561
20,1,SAAeq,soma,4.555839847866949
20,1,SAAeq,soma,4.671706198164053
20,1,SAAeq,soma,4.35634888088655
20,1,SAAeq,soma,4.361052470505292
20,1,SAAeq,soma,5.186389902647896
20,1,SAAeq,soma,4.106469174757173
20,1,SAAeq,soma,4.605805917162954
20,1,SAAeq,soma,4.538080715173059
20,1,SAAeq,soma,4.637454092189849
20,1,SAAeq,soma,4.3960427518962675
20,1,SAAeq,soma,4.1864512592376215
20,1,SAAeq,soma,4.222302266446391
20,1,SAAeq,soma,4.080070583127942
20,1,SAAeq,soma,5.007604138512491
20,1,SAAeq,soma,4.854300321346919
20,1,SAAeq,soma,4.407335653226667
20,1,SAAeq,soma,3.818653924099884
20,1,SAAeq,soma,5.053145905570503
20,1,SAAeq,soma,4.534891897777598
20,1,SAAeq,soma,4.780312325647934
20,1,SAAeq,soma,4.186673213411694
20,1,SAAeq,soma,5.780277026026475
20,1,SAAeq,soma,4.054817904771731
20,1,SAAeq,soma,4.663533124913059
20,1,SAAeq,soma,4.194069635102977
20,1,SAAeq,soma,3.4254888960653105
20,1,SAAeq,soma,4.017985670303965
20,1,SAAeq,soma,4.094825323779965
20,1,SAAeq,soma,4.105235035216502
20,1,SAAeq,soma,3.63794702606679
20,1,SAAeq,soma,4.596385453188944
20,1,SAAeq,dend,65.2626047531698
20,1,SAAeq,dend,65.8494373176947
20,1,SAAeq,dend,64.13214650618977
20,1,SAAeq,dend,67.56871432317244
20,1,SAAeq,dend,65.88938234886065
20,1,SAAeq,dend,65.35410185864856
20,1,SAAeq,dend,66.12766526580609
20,1,SAAeq,dend,67.407251108276
20,1,SAAeq,dend,65.59704470979665
20,1,SAAeq,dend,65.32438138950445
20,1,SAAeq,dend,65.89821733236127
20,1,SAAeq,dend,66.82042688618122
20,1,SAAeq,dend,62.05615751665576
20,1,SAAeq,dend,65.54181981887642
20,1,SAAeq,dend,66.47854651068661
20,1,SAAeq,dend,65.32452072994828
20,1,SAAeq,dend,67.32064227951992
20,1,SAAeq,dend,66.00408749299581
20,1,SAAeq,dend,66.7021635984456
20,1,SAAeq,dend,65.15395700169545
20,1,SAAeq,dend,66.77255186949328
20,1,SAAeq,dend,66.36632996510077
20,1,SAAeq,dend,66.75724979089026
20,1,SAAeq,dend,65.87315328615965
20,1,SAAeq,dend,64.79386240229687
20,1,SAAeq,dend,65.879356207508
20,1,SAAeq,dend,67.21764849127705
20,1,SAAeq,dend,66.97217394738132
20,1,SAAeq,dend,64.32410012245671
20,1,SAAeq,dend,65.76820467700139
20,1,SAAeq,dend,65.85158759751165
20,1,SAAeq,dend,64.17759640130461
20,1,SAAeq,dend,67.60141140990187
20,1,SAAeq,dend,66.3433375953113
20,1,SAAeq,dend,64.83337667699534
20,1,SAAeq,dend,65.94758574803538
20,1,SAAeq,dend,66.79444221441652
20,1,SAAeq,dend,66.77969873803823
20,1,SAAeq,dend,67.21657631682973
20,1,SAAeq,dend,64.74652807548186
20,1,SAAeq,dend,66.19827324217218
20,1,SAAeq,dend,66.23863682857994
20,1,SAAeq,dend,65.9374456961875
20,1,SAAeq,dend,64.98885498627851
20,1,SAAeq,dend,63.95762658165397
20,1,SAAeq,dend,64.55579136256904
20,1,SAAeq,dend,64.92068933207503
20,1,SAAeq,dend,66.6223221668505
20,1,SAAeq,dend,65.63355199603478
20,1,SAAeq,dend,66.26353823792329
20,1,SAAred,soma,4.26000647229295
20,1,SAAred,soma,3.843569176887435
20,1,SAAred,soma,4.405860388456794
20,1,SAAred,soma,4.331240900947137
20,1,SAAred,soma,4.2228262580402
20,1,SAAred,soma,3.987175612874651
20,1,SAAred,soma,4.088335314960837
20,1,SAAred,soma,3.665378542474272
20,1,SAAred,soma,3.598130266011381
20,1,SAAred,soma,4.764793802256854
20,1,SAAred,soma,4.453874417855957
20,1,SAAred,soma,4.287085892224944
20,1,SAAred,soma,3.7968540621995714
20,1,SAAred,soma,4.467819453214389
20,1,SAAred,soma,3.6210805509954653
20,1,SAAred,soma,4.482945596190781
20,1,SAAred,soma,3.7090003388659483
20,1,SAAred,soma,4.024663669925864
20,1,SAAred,soma,4.039354938188978
20,1,SAAred,soma,3.499728753364721
20,1,SAAred,soma,3.4801881563289427
20,1,SAAred,soma,3.730119300900398
20,1,SAAred,soma,4.035787432187227
20,1,SAAred,soma,4.038093521753218
20,1,SAAred,soma,3.524534335736945
20,1,SAAred,soma,3.9326243205993663
20,1,SAAred,soma,3.9102365951459817
20,1,SAAred,soma,3.590872355905148
20,1,SAAred,soma,3.556964161622453
20,1,SAAred,soma,3.7952920575593367
20,1,SAAred,soma,4.230437284692037
20,1,SAAred,soma,3.384033614333383
20,1,SAAred,soma,4.06611841187533
20,1,SAAred,soma,3.677519974962145
20,1,SAAred,soma,4.077772261771727
20,1,SAAred,soma,3.7358367962417915
20,1,SAAred,soma,3.9953294735351506
20,1,SAAred,soma,4.030036027771466
20,1,SAAred,soma,4.135149155651078
20,1,SAAred,soma,3.938867877021856
20,1,SAAred,soma,4.043377126478887
20,1,SAAred,soma,4.41399522660253
20,1,SAAred,soma,3.921505870806449
20,1,SAAred,soma,3.631278932209838
20,1,SAAred,soma,3.6704277687591116
20,1,SAAred,soma,4.050833288931187
20,1,SAAred,soma,4.222637931615893
20,1,SAAred,soma,3.3794372671984263
20,1,SAAred,soma,4.654983610616796
20,1,SAAred,soma,4.123746028520131
20,1,SAAred,dend,64.80966739122104
20,1,SAAred,dend,65.2171871066634
20,1,SAAred,dend,65.64584107863773
20,1,SAAred,dend,66.79336276884362
20,1,SAAred,dend,65.94237996114833
20,1,SAAred,dend,65.99571815751413
20,1,SAAred,dend,66.42431963920002
20,1,SAAred,dend,64.01375774007866
20,1,SAAred,dend,62.889659846554515
20,1,SAAred,dend,65.34063570579552
20,1,SAAred,dend,66.91075329324975
20,1,SAAred,dend,65.89169606114565
20,1,SAAred,dend,65.48836881406982
20,1,SAAred,dend,65.61967047687813
20,1,SAAred,dend,64.12206367786838
20,1,SAAred,dend,64.33728328398713
20,1,SAAred,dend,62.933840299076635
20,1,SAAred,dend,63.882019441294496
20,1,SAAred,dend,64.49590261995962
20,1,SAAred,dend,64.15880679427434
20,1,SAAred,dend,65.42758944607962
20,1,SAAred,dend,64.28708062256648
20,1,SAAred,dend,64.88132948794612
20,1,SAAred,dend,63.59801292704316
20,1,SAAred,dend,63.30970663877513
20,1,SAAred,dend,66.20209584009996
20,1,SAAred,dend,64.90766721682374
20,1,SAAred,dend,64.51126278334547
20,1,SAAred,dend,64.7504552979987
20,1,SAAred,dend,63.70463275722089
20,1,SAAred,dend,66.56297601704364
20,1,SAAred,dend,63.762072265981224
20,1,SAAred,dend,64.94206289592125
20,1,SAAred,dend,63.270281015009125
20,1,SAAred,dend,64.74501184025124
20,1,SAAred,dend,61.541079750835486
20,1,SAAred,dend,62.04446045905589
20,1,SAAred,dend,65.61788642251499
20,1,SAAred,dend,66.5518225910603
20,1,SAAred,dend,63.09280479981062
20,1,SAAred,dend,65.04390203308469
20,1,SAAred,dend,65.39224293695138
20,1,SAAred,dend,65.95420477935942
20,1,SAAred,dend,63.25063396576171
20,1,SAAred,dend,63.05762167543938
20,1,SAAred,dend,65.55562875467977
20,1,SAAred,dend,66.63538368509224
20,1,SAAred,dend,63.512598540040884
20,1,SAAred,dend,61.11916786754323
20,1,SAAred,dend,65.07024033346302
20,2,WT,soma,4.860992648616175
20,2,WT,soma,4.949962670070228
20,2,WT,soma,4.536551815689613
20,2,WT,soma,4.883879269207981
20,2,WT,soma,4.804680318380875
20,2,WT,soma,4.109659878739436
20,2,WT,soma,4.5306323905522845
20,2,WT,soma,4.322096773939023
20,2,WT,soma,4.499808165290325
20,2,WT,soma,5.128354643756339
20,2,WT,soma,5.035807296920893
20,2,WT,soma,4.996195974197221
20,2,WT,soma,4.383785701806431
20,2,WT,soma,4.016202203644347
20,2,WT,soma,4.067675493247627
20,2,WT,soma,5.222538491442748
20,2,WT,soma,4.264344375385534
20,2,WT,soma,4.570053536601819
20,2,WT,soma,4.495311588819874
20,2,WT,soma,4.596016965800963
20,2,WT,soma,4.7418809269590625
20,2,WT,soma,4.537945882076109
20,2,WT,soma,4.46534759568533
20,2,WT,soma,5.0317403926661015
20,2,WT,soma,4.664301423986316
20,2,WT,soma,4.184093050586036
20,2,WT,soma,4.485216280910976
20,2,WT,soma,5.2495612755148855
20,2,WT,soma,4.3672943481810265
20,2,WT,soma,4.629233625886457
20,2,WT,soma,4.220480303056348
20,2,WT,soma,5.177570502699332
