n_spines,trial,WT_soma,WT_dend,SAAeq_soma,SAAeq_dend,SAAred_soma,SAAred_dend
1,1,0.04501588817944935,7.187968749508734,0.05453202057223905,7.484887781328197,0.05453202057223905,7.484887781328197
1,2,0.11505689510651962,6.489039835870564,0.12799829565011578,6.719286697950302,0.12799829565011578,6.719286697950302
1,3,0.04501588817944935,7.187968749508734,0.054300271809722744,7.469048826587006,0.054300271809722744,7.469048826587006
1,4,0.1653428515236044,4.024036620540464,0.17929398893360826,4.205453480513285,0.17929398893360826,4.205453480513285
1,5,0.1653428515236044,4.024036620540457,0.1786751487138929,4.175563116866094,0.1786751487138929,4.175563116866094
1,6,0.11505689510651962,6.489039835870479,0.12801097814444518,6.719927084385958,0.12801097814444518,6.719927084385958
1,7,0.04501588817944935,7.187968749508734,0.0542171721967577,7.460965016245474,0.0542171721967577,7.460965016245474
1,8,0.03206573621514508,6.688199535342449,0.04049276011966185,6.949081454272864,0.04049276011966185,6.949081454272864
1,9,0.1653428515236044,4.024036620540478,0.17908989706801037,4.19606137172071,0.17908989706801037,4.19606137172071
1,10,0.11505689510651962,6.4890398358704715,0.12797218366523566,6.725297462044942,0.12797218366523566,6.725297462044942
3,1,0.5202776358866288,12.307710865800757,0.556694523248126,12.678331343471115,0.43084564597461394,8.511474205053524
3,2,0.6963534201692454,15.368445778662725,0.7377765593421088,15.801764031036022,0.35094719567238997,14.628314809063141
3,3,0.5126438695763085,17.477074230513075,0.546323890345235,17.959620871546186,0.3324543124238346,13.709314920881326
3,4,0.4154384668593707,19.53418634305114,0.44592680375677674,20.07884350311172,0.2889260558217046,15.59648734492005
3,5,0.702851778680369,11.533082051120566,0.7452074934707156,11.901151568074972,0.3583776920003032,10.572057123594071
3,6,0.7352221779337924,12.649514425245656,0.7787461050067606,13.051766036309175,0.4694912420023485,9.699223112315124
3,7,0.45816931488124624,18.130936546445128,0.4901814863490017,18.598846232067004,0.33239698616461055,13.690098771404102
3,8,0.716373057913259,12.009710618508194,0.7598693808475758,12.427853817782243,0.4468820807578169,9.01656938057775
3,9,0.526782812609838,17.00395050771958,0.5632222615658833,17.5229565515368,0.414131553535924,12.820151233920484
3,10,0.41044041171021206,18.88438349076818,0.4373886874330566,19.359738525223555,0.26818119264518714,14.429140700361174
5,1,0.47434947897855295,21.369733429352628,0.4968802024512087,21.58460034775834,0.39470001296889734,17.841725439698337
5,2,0.5825134485480419,22.85795044077843,0.610359465858096,23.10133182216287,0.48220967171032214,17.9217936382016
5,3,1.1705978462890414,20.99188251096298,1.2367055255631527,21.545594067120852,0.7380989155730902,15.826606813489626
5,4,0.8419009770669987,25.466020763929507,0.8804777210431212,25.969218654133222,0.4455707486041405,19.72309794009397
5,5,1.2543376664761468,17.188113610611914,1.3204642428407993,17.651351143524117,0.8357952007357881,11.373148934602128
5,6,0.7241089066552746,19.595008445006954,0.7621202993043568,19.832969615824872,0.5905831373823816,13.752807401388274
5,7,0.9124118226337288,21.617106160470165,0.9595305591059429,22.067739772015393,0.6056848904874528,15.972468019744042
5,8,0.6270760240916076,24.760603079697027,0.6563506938930743,25.107157014746072,0.42852535358117905,16.13453326834488
5,9,0.8776843631733442,23.748046962319357,0.9207062275268356,24.28851808994373,0.5966411072369056,15.56891928266726
5,10,1.0227476956466717,21.134733442257307,1.0827099235514765,21.660644533384755,0.5284741741439234,16.955336749567557
7,1,1.318467240828042,24.631808338517253,1.3796193922238444,24.93309785125232,1.2567269190760584,19.168106529155047
7,2,1.0809006670808543,30.207254869393914,1.1320870373038616,30.57077209544459,0.9601346682259333,25.9173618779393
7,3,1.1295893602619458,26.535900526967495,1.1785965815509485,26.858599948727687,0.9792116258361574,23.237186774707183
7,4,1.5686514708403507,25.25748826819629,1.6412429607781718,25.740659746852685,1.3796470159735605,18.439840214059572
7,5,1.27987445348532,26.454104017826317,1.3381600359153367,26.74276216263452,0.8950015648016887,21.398304462492263
7,6,1.181815534323647,22.0646211148468,1.2398022281233239,22.331412225811732,1.149327832847348,18.418922664319346
7,7,1.3005670772238744,28.654780515682233,1.357766467421925,29.009887980250397,0.8169356824634093,26.823864802399875
7,8,1.0562077283236704,29.017651448121754,1.1028081834620593,29.3243025336213,0.8714014397003922,25.727188391320766
7,9,0.6937911772466094,22.994263862792636,0.7280721593080983,23.20451239466785,0.6387212146320707,19.84635178259593
7,10,1.619812981958475,25.566043923795277,1.6986216868827455,26.062413139164427,1.1469472152635376,23.34600549842051
9,1,1.5004921368071535,27.605415123740606,1.5657122806469346,27.833489218747204,1.0086585603462055,22.45343294455673
9,2,2.1352043315228713,25.24269544745708,2.2300580873837674,25.6985490029792,1.7113571245720607,17.63649124665681
9,3,1.4438967728997625,26.300653491175254,1.5088163440575357,26.570305788959757,1.4512685800554124,22.752148359807975
9,4,1.7494113814965715,26.282409624009382,1.8237499297408135,26.552003660121763,1.3070118927167442,23.117782290772418
9,5,1.2043868480806736,29.948386591748637,1.2594616044334117,30.194598425332806,0.9998128924803211,25.975445870836275
9,6,1.2452429397999225,28.3411479747215,1.3018815743223229,28.588042519351895,1.2503359460083345,24.57594808771823
9,7,1.207629343603685,33.28887504990872,1.2629155387167827,33.61254724623009,0.9730803257083664,28.330094147852286
9,8,1.3642405524057892,31.2587308009576,1.4255365363406156,31.55919774019239,0.8971532969468683,25.449042738419685
9,9,1.3157448744163958,32.23982721790005,1.3741944364971204,32.566361630346506,0.8978993898290071,27.638579002797606
9,10,1.624898805469286,31.77987608293865,1.6942597347270265,32.119430530202806,1.5247831769640072,22.755285270027358
11,1,1.8952839999176376,33.16908803191688,1.974952861422608,33.55139696747767,1.6432871549356491,28.618474729397256
11,2,1.2729877047269298,33.967768174492036,1.3311093599684654,34.22690344475324,1.2349708103526922,28.755777172549998
11,3,1.2485651560145925,34.70407788423541,1.3037002252434746,35.04534913847675,1.1791620798296663,30.297130998423334
11,4,1.3679837152692613,31.831646190891732,1.4302169838944252,32.145706862535114,1.364467096869916,28.317251863464627
11,5,1.6854255286682474,34.0615921513791,1.7584476828735376,34.408983135987384,1.627560579781914,28.68989559034098
11,6,1.8150739881944986,31.51663359316904,1.8933196440925002,31.801454988252154,1.254110969654235,29.71193943805656
