n_spines,trial,WT_soma,WT_dend,SAAeq_soma,SAAeq_dend,SAAred_soma,SAAred_dend
1,1,0.04112594510029055,10.359476189063344,0.05101370220620538,10.626562353793751,0.05101370220620538,10.626562353793751
1,2,0.04112594510030476,10.359476189063592,0.051079511765664165,10.622992907300151,0.051079511765664165,10.622992907300151
1,3,0.07631812115153025,7.744894797553357,0.08896020556906592,7.965263499395107,0.08896020556906592,7.965263499395107
3,1,0.3061294528629048,21.82221453085515,0.32919456435037375,22.074111782074162,0.06795101730754993,11.691674061868817
3,2,0.5414461246247555,17.11428594687682,0.5830908501826855,17.52025894311503,0.11653981443306805,4.115724173869076
3,3,0.32669726710501834,23.02411424922721,0.3512296865980744,23.292208370384316,0.06789497715013226,11.663584782770862
5,1,0.6014654014022938,27.749158323975585,0.64170793732616,27.9819842813366,0.05101370220621959,10.626562353793744
5,2,0.6927841123816165,23.799050672362085,0.7394930153896553,24.01898995219541,0.11653981443306805,4.115724173869076
5,3,0.5520697577460538,24.4423108505975,0.5901724925330569,24.671561648345993,0.11646705050338824,4.108614461489701
7,1,0.8412982593983855,32.2328383970497,0.8954720627232575,32.52266167526093,0.11650470413212588,4.118944193030153
7,2,0.8502780225069984,32.76674935180429,0.9050428950132527,33.065348998313375,0.037421279503334404,9.821642336478753
7,3,0.8929276427873418,33.61039889906963,0.9493266660888366,33.88977625954488,0.06789497715013226,11.663584782770862
9,1,1.0054273930533952,35.00199723757183,1.068570658040585,35.24911370987516,0.24563365483435007,19.064024095671094
9,2,0.9516108636939435,36.525603936791555,1.0107921046298998,36.93789432843988,0.2552413900714896,19.77991315286843
9,3,0.8909108090479094,36.696913510467525,0.9473861322533139,37.07882138746179,0.236874308883543,18.486532679577735
11,1,1.1802895356047713,37.93352546968938,1.2531549763860141,38.246301372742415,0.20652058785148597,16.778842133387712
11,2,1.3354908610917562,35.103646034534236,1.417523331185322,35.3948235328143,0.3837666671894766,7.726125287215702
11,3,1.0354507725022017,36.243623840727935,1.1001734286663378,36.467372927306386,0.17887541404097362,15.255041481674759
13,1,1.1160652191302773,41.81295758063723,1.18493136619459,42.04911052355922,0.4520573559773311,24.267426441391997
13,2,1.363201547026776,39.443593905681766,1.446033550698715,39.78991351315628,0.472219970293807,21.365604224373094
13,3,1.258881213278059,40.36443209908906,1.3358787623387514,40.723089334539424,0.4794594172316522,21.933829296757345
15,1,1.5203758733623403,43.33057623868552,1.61174985211467,43.61102047876645,0.5026112077242288,21.71297621636915
15,2,1.0840067633665171,41.91619952262184,1.1511763668681283,42.26343348028321,0.3509412813043724,23.298086147146023
15,3,1.4153594152761002,40.46094672150358,1.5009758067968875,40.75942264513268,0.44337043434286727,23.71418098959407
17,1,1.4486374517657055,45.673712447919684,1.535870498284794,45.92369422585592,0.6111846913039898,26.87398760480866
17,2,1.6091365214742126,42.6848622774011,1.705633800123067,43.13715520912854,0.6922660845531539,23.182607167472533
17,3,1.2336342119699992,46.215050990418206,1.3086047686538649,46.57961635745962,0.583900739175661,25.45863231249404
19,1,1.3963401085117653,43.58091442227091,1.4806633544945242,43.71513683648526,0.8108033835943758,16.628561049235813
19,2,1.5323560694367444,46.276932519844294,1.62426658079724,46.67608107719008,0.5836964149963961,25.465369822088277
19,3,1.3421300498250588,42.12651019853469,1.4233982325295358,42.420358961426615,0.6922505402786783,23.157866691792478
21,1,1.412721686157937,47.831684220566316,1.497631336996463,48.09026435420323,0.7993236491974614,28.845944717790225
21,2,1.7492250531668248,47.19655489627375,1.8530331483029414,47.61536565886662,0.6633201541372955,30.887330960752095
21,3,1.6759148345524295,45.189147387927264,1.7758728926575174,45.46751251126656,0.834323941877031,25.696841443615767
23,1,1.5977558564493677,45.962940922213534,1.6930093530020827,46.37804340652417,0.7096861854371497,27.794571617194634
23,2,1.4629309205336796,49.04708455109682,1.5504827527806953,49.19978880460626,0.8150658787567977,28.541346825218945
23,3,1.7083000313702428,45.41127579278783,1.809689713454361,45.89329065985263,0.75606008302411,25.060607256766332
25,1,1.6677886545692502,51.01019329929727,1.7666482038144693,51.38874883523371,0.8658337544415815,31.180584855028776
25,2,1.4870903377389197,50.20771256442254,1.575933029443405,50.67264703266663,0.6761234171277266,31.288471491243584
25,3,1.6646289799076612,49.26976838404691,1.763359746745735,49.397944983759444,0.8580047230914971,32.14693749428888
27,1,1.7472068616253864,50.4220125032034,1.8505466478192432,50.799578727046416,0.7395564242039114,33.08350854151531
27,2,1.9298090613655603,48.8409674107908,2.044093268928762,49.05518509261923,0.8872356146196267,28.316114141970935
27,3,1.599734825273174,49.064608387131855,1.6947017626767007,49.17304105253653,0.740098780828319,31.287351324998525
29,1,1.7090721719114867,52.019241884135816,1.8101704185421141,52.418572450008384,0.89621365750439,34.40328788741418
29,2,1.5970042279152068,50.44110886975821,1.6919092273763994,50.90684199445139,0.8567541806715298,31.67267566188844
29,3,1.8298957041439223,50.24158800189816,1.938001464675665,50.76175522801167,1.208601149183437,30.089907899062368
31,1,1.7667804643192113,51.49111931563384,1.871085702339613,51.833521635740794,0.7868229402468643,31.167053455875106
31,2,1.7647087766318492,51.345071978916096,1.869065944117466,51.74568315161725,0.8956251183928856,32.52991669080596
31,3,1.923094724328564,52.65067471583966,2.0366286408127507,53.0341257106998,0.8314910363649517,34.14444065163148
33,1,1.8750475870400436,51.58437182599647,1.9855888289457653,51.96957440838345,0.854531692911948,35.142343674334676
33,2,1.6450162982589234,51.7282865958268,1.7424593130329669,52.03183207489754,0.8099058934472652,34.92236987751752
33,3,1.8304878675847505,51.62809994870496,1.9385084131572938,51.99733932164923,0.9862848394056272,33.736007781314605
35,1,2.0696198163852273,52.82480238305412,2.192051240622561,53.19109044170656,0.7857168975335611,37.16563199964198
35,2,2.230660970418498,51.370281457517876,2.3644331147890796,51.93256710986,1.0481972515043054,34.196739791986204
35,3,2.02674942644812,53.52255891636028,2.146495618668041,53.785557503065895,0.7666222928140627,33.59259884252421
37,1,2.116970795374229,53.90967507824459,2.242419763260557,54.13939279872672,1.068570658040585,35.24911370987532
37,2,1.8326413065627634,52.628495458774175,1.9406784590583612,52.862356456278334,1.0605031690882072,34.61535961536175
37,3,2.0956592637531344,49.46310166635561,2.2200274250611898,50.03071170425783,1.0641980861612126,32.764192945187276
39,1,1.9623885564789703,52.22302588115701,2.0778676726382486,52.54461616136337,1.0347282320887814,36.024876675500536
39,2,2.180246030857461,52.171698725655155,2.3102761012879967,52.540463533332286,1.285469505915259,31.163632026146374
39,3,1.8815682733486199,54.518269850966824,1.9922464651344711,54.6091219756239,0.8054750195141196,37.89931815643233
41,1,2.1072523629188424,54.12029872913638,2.2318860922279526,54.25119398745363,1.3042467989694018,31.999968500682535
41,2,2.169691430863793,54.0385033699709,2.2988763764736007,54.181018893734986,0.8896002037850081,40.0819164304765
41,3,2.1225425481317046,55.178953926988086,2.2482354792667962,55.34296475659663,1.0699184366755077,38.61706415976184
43,1,2.0937090992657943,55.35452630241984,2.2172018053162077,55.61759932607569,1.1953615327559675,37.19106816653282
43,2,2.0415555692787137,55.154598854582105,2.1618539827291414,55.369337660102005,1.0116820312513823,37.35401454285693
43,3,1.8048569748272456,55.42469976006222,1.9105294569234985,55.85599868337421,0.7717658505091833,39.020747961339026
45,1,1.9248369665427703,56.133347175843305,2.037228992696967,56.53903440567463,1.0432599185688787,40.18865250099799
45,2,2.0758414857031795,53.60494249681348,2.198340473284034,53.688716980154815,0.9854887619830066,38.72950878478832
45,3,2.1988125029758407,54.969339749068496,2.3292753299920435,55.14426267169233,1.1469402582831378,40.1232284521719
47,1,2.1548003005815985,55.94623888070301,2.282151095048704,56.34927251767182,1.2822462150482892,39.89154857840946
47,2,2.338086891423387,55.27855563022116,2.4799883551052915,55.568789593110424,1.4175575046858455,37.766643276746976
47,3,2.0054750814917526,54.6711573091396,2.1234452375311577,55.06163121821673,1.1926131074237531,37.19448081781626
49,1,2.2811551645662718,56.296912759448844,2.417882887350544,56.67660339832595,1.2357836664262152,40.074792483404934
49,2,2.133724758918234,56.90871222659101,2.259245916501655,57.25834824055547,1.0363439332848827,41.76281606549858
49,3,2.2058842786327517,54.76418350714626,2.3373226683946626,55.21132009034616,1.0046478402208123,39.45243898584721
