n_spines,trial,WT_soma,WT_dend,SAAeq_soma,SAAeq_dend,SAAred_soma,SAAred_dend
1,1,0.04112594510029055,10.359476189063344,0.0510217720413948,10.614547949124983,0.0510217720413948,10.614547949124983
1,2,0.04112594510030476,10.359476189063592,0.05099563379022243,10.553760795937556,0.05099563379022243,10.553760795937556
1,3,0.028427217074295186,9.59139311186943,0.037349583818368615,9.820230278976048,0.037349583818368615,9.820230278976048
1,4,0.028427217074295186,9.591393111869465,0.037372619218771774,9.819576127979424,0.037372619218771774,9.819576127979424
3,1,0.5029693513807132,19.632981937009973,0.5418101612802246,20.050801027544004,0.06788850001967717,11.675572163102004
3,2,0.4407626345926019,19.75635341677109,0.47447540477969596,20.01045237574801,0.05099563379022243,10.553760795937556
3,3,0.35504181649415045,24.46627316732574,0.38110148963804136,24.803110868142603,0.037349583818368615,9.820230278976041
3,4,0.26771873834290716,19.468866432975403,0.28847950333519634,19.651392700243342,0.05100559362010415,10.619172804618692
5,1,0.7185140579068019,26.863584955287948,0.7657976194145846,27.1224242233899,0.0510217720413948,10.614547949124983
5,2,0.41625867848398457,26.22664405031687,0.4464624985947552,26.435750368826078,0.03743736794440622,9.764780182274826
5,3,0.789405456606076,28.9165733857956,0.8407105252413913,29.29208777425776,0.11642803716854644,4.115475627070772
5,4,0.9293714833746236,21.37707841872293,0.9938981164795848,21.835657987766666,0.11644617700885362,4.114155250439893
7,1,0.8877322352860517,31.312039982234985,0.9445189490256496,31.552903354018433,0.11644931074393128,4.112839667862318
7,2,0.8156355353788172,32.30173315771214,0.8686405073752184,32.58052974354137,0.06778526962068554,11.60411899165885
7,3,0.7942294275319455,28.595736515753686,0.8458265942484786,28.865508212272488,0.11642803716854644,4.115475627070772
7,4,0.8156355353788172,32.301733157712206,0.8678444872019924,32.61041205132951,0.037372619218771774,9.819576127979431
9,1,1.2432151732906078,33.87855337967573,1.3196875341682102,34.15858328386329,0.3416179481110788,14.840576356969613
9,2,1.0963777037137703,34.6751601907885,1.164805926800355,34.91100518513808,0.2711498701882107,15.97672787640154
9,3,0.9359425329348312,36.31620401226721,0.9944349158480179,36.547165454234324,0.17855837337978642,15.258650299158468
9,4,0.7893180246760352,33.02377899242638,0.8400504213126396,33.362104615470805,0.2065879122758787,16.774029477615905
11,1,1.1115674649543763,35.89528649540691,1.1807516726110663,36.14749335927222,0.20666677760296182,16.771082471787274
